0, en, 01, 01, 25, quick/en-List01Sentence01.wav, whitesilk/white whitesilk/silk jacket any shoes
0, en, 01, 02, 20, quick/en-List01Sentence02.wav, child crawled into dense grass
0, en, 01, 03, 15, quick/en-List01Sentence03.wav, footprints showed path took beach
0, en, 01, 04, 10, quick/en-List01Sentence04.wav, event near edge fresh air
0, en, 01, 05, 05, quick/en-List01Sentence05.wav, band steel three/3 inches/in wide
0, en, 01, 06, 00, quick/en-List01Sentence06.wav, weight package seen high scale
0, en, 02, 01, 25, quick/en-List02Sentence01.wav, tara/tear thin sheet yellow pad
0, en, 02, 02, 20, quick/en-List02Sentence02.wav, cruise waters sleek yacht/yaught fun
0, en, 02, 03, 15, quick/en-List02Sentence03.wav, streak color down left edge
0, en, 02, 04, 10, quick/en-List02Sentence04.wav, done before boy see it
0, en, 02, 05, 05, quick/en-List02Sentence05.wav, crouch before jump miss mark
0, en, 02, 06, 00, quick/en-List02Sentence06.wav, square peg settle round hole
1, en, 03, 01, 25, quick/en-List03Sentence01.wav, pitch straw through door stable
1, en, 03, 02, 20, quick/en-List03Sentence02.wav, sink thing which pile dishes
1, en, 03, 03, 15, quick/en-List03Sentence03.wav, post no bills office wall
1, en, 03, 04, 10, quick/en-List03Sentence04.wav, dimes showered down all sides
1, en, 03, 05, 05, quick/en-List03Sentence05.wav, pick card slip under pack/pact
1, en, 03, 06, 00, quick/en-List03Sentence06.wav, store jammed before sale start
1, en, 04, 01, 25, quick/en-List04Sentence01.wav, sense smell better than touch
1, en, 04, 02, 20, quick/en-List04Sentence02.wav, picked up dice second role/roll
1, en, 04, 03, 15, quick/en-List04Sentence03.wav, drop ashes warren/worn old rug
1, en, 04, 04, 10, quick/en-List04Sentence04.wav, couch cover haul/hall drapes blue
1, en, 04, 05, 05, quick/en-List04Sentence05.wav, stems tall glasses cracked broke
1, en, 04, 06, 00, quick/en-List04Sentence06.wav, cleats sank deeply soft turf
1, en, 05, 01, 25, quick/en-List05Sentence01.wav, have better than wait hope
1, en, 05, 02, 20, quick/en-List05Sentence02.wav, screen before fire kept sparks
1, en, 05, 03, 15, quick/en-List05Sentence03.wav, thick glasses helped read print
1, en, 05, 04, 10, quick/en-List05Sentence04.wav, chair looked strong no bottom
1, en, 05, 05, 05, quick/en-List05Sentence05.wav, told wild tails/tales frighten him
1, en, 05, 06, 00, quick/en-List05Sentence06.wav, force equal would move earth
0, en, 06, 01, 25, quick/en-List06Sentence01.wav, leaf drifts along slow spin
0, en, 06, 02, 20, quick/en-List06Sentence02.wav, pencil cut sharp both ends
0, en, 06, 03, 15, quick/en-List06Sentence03.wav, down road way grain farmer
0, en, 06, 04, 10, quick/en-List06Sentence04.wav, best method fix place clips
0, en, 06, 05, 05, quick/en-List06Sentence05.wav, if mumble your speech lost
0, en, 06, 06, 00, quick/en-List06Sentence06.wav, toad frog hard tell apart
1, en, 07, 01, 25, quick/en-List07Sentence01.wav, kite dipped suede/swayed stayed aloft
1, en, 07, 02, 20, quick/en-List07Sentence02.wav, beatle/beetle drowned/dround hot june sun/son
1, en, 07, 03, 15, quick/en-List07Sentence03.wav, theft pearl pin kept secret
1, en, 07, 04, 10, quick/en-List07Sentence04.wav, wide grin earned many friends
1, en, 07, 05, 05, quick/en-List07Sentence05.wav, hurdle pit aid long pole
1, en, 07, 06, 00, quick/en-List07Sentence06.wav, peep under tent see clown
0, en, 08, 01, 25, quick/en-List08Sentence01.wav, sun/son came light eastern sky
0, en, 08, 02, 20, quick/en-List08Sentence02.wav, stale smell old beer lingers
0, en, 08, 03, 15, quick/en-List08Sentence03.wav, desk firm on shaky floor
0, en, 08, 04, 10, quick/en-List08Sentence04.wav, list names carved around base
0, en, 08, 05, 05, quick/en-List08Sentence05.wav, news struck/struct out restless minds
0, en, 08, 06, 00, quick/en-List08Sentence06.wav, sand drifts over sill house
1, en, 09, 01, 25, quick/en-List09Sentence01.wav, take shelter tent keep still
1, en, 09, 02, 20, quick/en-List09Sentence02.wav, little tails/tales they tell false
1, en, 09, 03, 15, quick/en-List09Sentence03.wav, press pedal/petal with left foot
1, en, 09, 04, 10, quick/en-List09Sentence04.wav, black trunk fell from landing
1, en, 09, 05, 05, quick/en-List09Sentence05.wav, cheap clothes flashy don't last
1, en, 09, 06, 00, quick/en-List09Sentence06.wav, night alarm roust/roused deep sleep
0, en, 10, 01, 25, quick/en-List10Sentence01.wav, dots light betrayed black cat
0, en, 10, 02, 20, quick/en-List10Sentence02.wav, put chart mantle tack down
0, en, 10, 03, 15, quick/en-List10Sentence03.wav, steady drip worse drenching rain
0, en, 10, 04, 10, quick/en-List10Sentence04.wav, flat pack less luggage space
0, en, 10, 05, 05, quick/en-List10Sentence05.wav, gloss top made unfit read
0, en, 10, 06, 00, quick/en-List10Sentence06.wav, seven seals stamped great sheets
0, en, 11, 01, 25, quick/en-List11Sentence01.wav, marsh/marsue freeze when cold enough
0, en, 11, 02, 20, quick/en-List11Sentence02.wav, gray mare walked before colt
0, en, 11, 03, 15, quick/en-List11Sentence03.wav, bottles hold four/for kinds rum
0, en, 11, 04, 10, quick/en-List11Sentence04.wav, wield/wheeled/wheled bike past winding road
0, en, 11, 05, 05, quick/en-List11Sentence05.wav, throw used paper cup plate
0, en, 11, 06, 00, quick/en-List11Sentence06.wav, wall phone ring loud often
0, en, 12, 01, 25, quick/en-List12Sentence01.wav, hinge door creaked old age
0, en, 12, 02, 20, quick/en-List12Sentence02.wav, bright lanterns gay dark lawn
0, en, 12, 03, 15, quick/en-List12Sentence03.wav, offered proof form large chart
0, en, 12, 04, 10, quick/en-List12Sentence04.wav, there/their eyelids droop want sleep
0, en, 12, 05, 05, quick/en-List12Sentence05.wav, many ways do these things
0, en, 12, 06, 00, quick/en-List12Sentence06.wav, we like see clear weather
